Name_of_Mitigation_Action,Sector_Affected,GHGs_Affected,Objective_andor_Activity_Affected,Type_of_Instrument,Status_of_Implementation,Start_year_of_Implementation,Implementation_Entity,Estimate_of_Mitigation_Impact_in_2020_Kt_CO2_eq,Estimate_of_Mitigation_Impact_in_2030_Kt_CO2_eq,Brief_Description
Green Municipal Fund ,Cross-cutting,"CO2, CH4","Support increased energy efficiency in the built environment, which will in turn contribute to reduced GHG emissions efficiency in the built environment, which will in turn contribute to reduced GHG emissions",Economic,Planned,2019,"Environment and Climate Change Canada, Natural Resources Canada, Infrastructure Canada  ",NAe,NAe,"Budget 2019 proposed $950 million in new funding for the Federation of Canadian Municipalities (FCM) to support increased energy efficiency in the built environment through the following four initiatives: Sustainable Affordable Housing Innovation ($300 million), Community Ecoefficiency Acceleration ($300 million) and LC3-FCM Collaboration on Community Climate Action ($350 million)."
Impact Canada Initiative-Clean Technology Stream,Cross-cutting,"CO2, CH4, N2O",Unlock breakthrough clean technology solutions to complex and persistent problems,Economic,Planned,2017,Natural Resources Canada,NEf,NEf,"In Budget 2017, Canada allocated $75 million over four years to create the Clean Technology stream of Impact Canada, a new initiative to help focus and accelerate efforts toward solving Canada’s big challenges, such as helping Canada’s northern and remote communities reduce their reliance on diesel as a power source. Six challenges have been launched under this initiative: The Women in Cleantech Challenge, the Sky’s the Limit Challenge, the Power Forward Challenge, the Crush It! Challenge, the Indigenous OffDiesel Initiative, and the Charging the Future Challenge."
Improving Access to Capital for CleanTech Companies,Cross-cutting,"CH4, CO2, N2O, HFCs, PFCs, SF6, NF3 ",Help Canada’s clean technology firms grow and expand,Economic ,Planned,2017,Export Development Canada; Business Development Canada,NEf,NEf,"The Government of Canada committed $1.4 billion in new financing in 2017 through the Business Development Bank of Canada (BDC) and Export Development Canada (EDC). This financing includes $950 million in growth capital to support clean technology producers ($700 million by BDC and $250 million by EDC). It also includes approximately $450 million to EDC in additional project financing for “first of kind commercial scale” clean technology projects. EDC has approved one project under this financing, and is working to approve additional clean technology projects. To mobilize its allocated financing, BDC allocated $600 million of this funding to launch its Cleantech Practice in 2018 to support the growth and expansion of future Canadian global technology companies with transactions that exceed BDC’s normal risk appetite, and a further $100 million in line with BDC’s normal risk parameters. The Cleantech Practice helps high-potential clean technology firms expand by providing them with the capital they need to hire new staff, develop products, support sales, and scale up and compete globally. To date, BDC has invested $175 million of that amount via the Cleantech Practice, and is broadly on target to meet its timelines to allocate the funding to transactions. BDC has already surpassed $100 million for its investment support in line with its normal risk parameters. To date, EDC has approved $32 million out of the $450 million project finance amount, with a number of additional projects in due diligence. EDC has also surpassed its target of $250 million of working capital support to cleantech firms, having approved $1.66 billion in transactions, mostly utilizing internal funding. "
Investing in Canada Infrastructure Program,Cross-cutting,"CH4, CO2, N2O",Support GHG mitigation initiatives linked to public infrastructure,Economic,Planned,2018,Infrastructure Canada,NEe,NEe,"The Green Infrastructure-Climate Change Mitigation sub-stream of the Investing in Canada Infrastructure Program (ICIP) will invest at least $3.8 billion in projects that increase generation of clean energy, increase capacity to manage more renewable energy, improve the energy efficiency of eligible buildings, increase access to clean energy transportation, and reduce reliance on diesel in rural and remote communities. The program aims to achieve a national 10 Mt reduction of greenhouse gas emissions. Provinces and territories are required to invest a minimum of 45% of their allocation under the $9.2 billion Green Infrastructure stream in climate change mitigation projects. All ICIP projects above an appropriate threshold—regardless of the stream—will be subject to a Climate Lens, which will require assessment of GHG emissions and/or resilience to climate impacts. Projects funded under ICIP will be undertaken in collaboration with provinces and territories, so project impacts may also appear under provincial programs."
Climate Action Incentive Fund,Cross-cutting,"CO2, CH4, N2O",Decrease energy usage and reduce carbon pollution,Economic ,Implemented ,2019,Environment and Climate Change Canada ,NEg,NEg,"The Climate Action Incentive Fund is a new federal program. In each province that does not meet the federal stringency requirements, the direct proceeds from the federal regulatory charge on fuel –  that are not returned directly to individuals and families through Climate Action Incentive payments – provide support to schools, hospitals, small and medium-sized businesses, colleges and universities, municipalities, not-for-profits, and Indigenous communities in the province. "
Climate Action Fund ,Cross-cutting,"CO2, CH4, N2O",Raise awareness of climate change and build capacity to increase climate actions,Economic ,Implemented ,2019,Environment and Climate Change Canada,NEd,NEd,"In August 2018, Canada launched the Climate Action Fund to help increase action and raise awareness of climate change. Since 2018, the Climate Action Fund has awarded up to $3 million per year to support innovative ideas. The Climate Action Fund provides funding to support projects delivered by students, youth, Indigenous Peoples and organizations, small and medium-sized businesses, not-for-profit organizations, and research and educational institutions. Funded projects will raise awareness of climate change and clean growth and encourage others to take action in support of Canada’s climate goals. To date, Canada has approved 44 active projects, totaling $5.3 million."
Low Carbon Economy Leadership Fund ,Cross-cutting,"CO2, CH4, N2O",GHG emissions reduction and removals in sectors across Canada ,Economic,Implemented,2017,Environment and Climate Change Canada,NEa,3376,"Launched in June 2017, the Government of Canada’s Low Carbon Economy Fund includes the Low Carbon Economy Leadership Fund, which is providing up to $1.4 billion to provinces and territories that have adopted the Pan-Canadian Framework. This funding recognizes the key role provinces and territories play in implementing the Pan-Canadian Framework and addressing climate change. Provinces and territories were each eligible to receive $30 million plus funding based on population. To date, Environment and Climate Change Canada has approved 48 active projects and funding of approximately $1 billion. Some of the Leadership Fund projects are provincial and territorial programs that further redistribute funding to a large number of projects."
Low Carbon Economy Challenge,Cross-cutting,"CO2, CH4, N2O, HFCs",GHG emissions reduction and removals in sectors across Canada,Economic,Implemented,2017,Environment and Climate Change Canada,NEa,2357,"Launched in March 2018, the Government of Canada’s Low Carbon Economy Challenge is part of the Low Carbon Economy Fund. It is providing over $500 million to leverage Canadian ingenuity to reduce GHGs and generate clean growth in support of the Pan-Canadian Framework. While funding decisions continue to be made, funded projects are supporting provinces and territories, municipalities, Indigenous communities and organizations, businesses, and not-for-profit organizations. To date, Environment and Climate Change Canada has approved 96 active projects and funding over $414 million."
Northern Responsible Energy Approach for Community Heat and Electricity (REACHE) program,Cross-cutting,CO2,Reduce reliance on diesel in remote Indigenous communities,Economic,Implemented,2016,Crown-Indigenous ,NEa,NEa,"The Government of Canada allocated $53.5 million over ten years and $5.4 million ongoing to continue the Northern Responsible Energy Approach for Community Heat and Electricity Program (Northern REACHE) to reduce reliance on diesel for heat and electricity in rural and remote Indigenous communities. As of September 2017 the program has funded 48 projects to reduce reliance on diesel including: energy efficiency, renewable energy, and capacity building projects."
Regulation of Hydrofluorocarbons*,Cross-cutting,HFCs,Reduce emissions of HFCs,Regulatory,Implemented,2019,Environment and Climate Change Canada,1000,9000,"In October 2016, Parties to the Montreal Protocol, including Canada, adopted an HFC phase-down amendment (the Kigali Amendment) wherein developed countries will begin in 2019 to gradually phase down the consumption of HFCs to 15% of calculated baseline levels by 2036. Canada’s Ozone-depleting Substances and Halocarbon Alternatives Regulations were amended in October 2017, implementing this phase-down. Following this, Canada ratified the Kigali Amendment in November 2017. Canada’s regulatory amendments entered into force in April 2018, and the phase-down began in January 2019 with a 10% consumption reduction. The regulatory amendments combine a phasedown of production and imports of HFCs with prohibitions on the manufacture and import of products containing or designed to contain HFCs. "
Strategic Innovation Fund,Cross-cutting,"CO2, CH4, N2O, HFCs, PFCs, SF6",Promote innovation including to reduce GHGs and other environmental impacts ,Economic,Implemented,2019,"Innovation, Science and Economic Development Canada",NEf,NEf,"The Strategic Innovation Fund, created in 2017, supports large-scale, transformative projects to promote research and development, clean growth, and the advancement of Canada’s innovation ecosystem. The Strategic Innovation Fund is open to all sectors of the Canadian economy, including clean-tech projects. In 2019, the Government of Canada announced $100 million over four years to the Strategic Innovation Fund, leveraging private sector co-investments, in order to support the activities of the Clean Resource Innovation Network. This Network, a consortium of businesses, innovators, not-for-profits, and academic institutions, is working to accelerate the development and adoption of innovative technologies and processes to lower the oil and gas industry’s environmental impacts. "
Sustainable Development Technology Canada,Cross-cutting,"CO2, CH4, N2O, HFCs, PFCs, SF6",Support precommercial development and demonstration of clean technology projects ,Economic,Implemented,2001,Sustainable Development Technology Canada,NAf,NAf,"Sustainable Development Technology Canada (SDTC) is a foundation created by the Government of Canada to support Canadian companies in their efforts to develop and demonstrate new environmental technologies that address climate change, clean air, clean water and clean soil. The Government of Canada has also provided funding to a number of other clean technology related programs, including $400 million in 2017 to recapitalize SDTC’s Sustainable Development Tech Fund. Sustainable Development Technology Canada subsequently approved 62 new projects designed to develop and demonstrate new clean technologies that promote sustainable development. As of March 31, 2019, SDTC has allocated $1.15 billion to support 397 projects across Canada, leveraging an additional $2.93 billion in public and private sector investment, since its establishment in 2001. SDTC-supported technologies have generated an estimated 18.1 megatonnes of CO2 eq annual emissions reductions, $3.05 billion in annual revenues and 13,107 direct and indirect jobs. SDTC-supported projects have also contributed to an estimated $208.8 million of cost avoided through the benefits of cleaner air, water and soil. "
British Columbia Carbon Tax*,Cross-cutting,"CO2, CH4, N2O, HFCs, PFCs, SF6",Reduce GHG emissions from fossil fuel use,Economic,Implemented,2008,British Columbia,4600,5600,"This tax applies to virtually all fossil fuels, including: gasoline, diesel, natural gas, coal, propane, and home heating fuel. The carbon tax started at a rate based on $10 per tonne of associated carbon or carbon-equivalent emissions, and is currently set at $40/tonne CO2 eq. British Columbia’s carbon tax will increase by $5 per tonne per year until it reaches $50/t. "
British Columbia CleanBC Program for Industry*,Cross-cutting,"CH4, N2O, CO2,",Reduce GHG emissions from industry,Economic,Adopted,2019,British Columbia,NEh,2500,British Columbia will direct a portion of B.C.’s carbon tax paid by industry into incentives for cleaner operations. Eligibility is based on a facility’s performance against a worldleading benchmark.
British Columbia Renewable Natural Gas Requirement*,Cross-cutting,CO2,Reduce GHG emissions from industry,Regulatory,Planned,2020,British Columbia,NEh,2400,British Columbia will make industrial natural gas consumption cleaner with a minimum 15% to come from renewable gas.
British Columbia ,Cross-cutting,CO2,Support advancement of clean energy technologies,Economic,Implemented,2008,British Columbia,NEh,NEh,"The Innovative Clean Energy Fund is funded through a levy on energy sales, designed to support the Province’s energy, economic, environmental and greenhouse gas reduction priorities, to advance BC’s clean energy sector. Since 2008, the Innovative Clean Energy Fund has committed approximately $97 million to support pre-commercial clean energy technology projects, clean energy vehicles, research and development, and energy efficiency programs."
British Columbia Carbon Neutral Government Program and Carbon Neutral Capital Program  ,Cross-cutting,CO2,Achieve carbon neutrality in government operations,Regulatory,Implemented,2007,British Columbia,NEh,NEh,"The Greenhouse Gas Reduction Targets Act required the provincial government, including provincial ministries and agencies, schools, colleges, universities, health authorities and Crown corporations, to become carbon neutral by 2010 and to make public a report every year detailing actions taken towards carbon neutrality. The province has achieved carbon neutrality for its public sector operations each year from 2010 to 2018. For the 2018 reporting year, overall public sector organization emissions were 7.8% lower than they were in 2010."
British Columbia GHG Emission Control Regulation  ,Cross-cutting,"CO2, CH4",Reduce GHG emissions,Regulatory,Implemented,2016,British Columbia,NEh,NEh,"The Greenhouse Gas Emission Control Regulation establishes the infrastructure and requirements for issuing emission offset units and funded units. These are the foundational elements that enable compliance with the performance standards listed within a Schedule to the Greenhouse Gas Industrial Reporting and Control Act. The Regulation also establishes the BC Carbon Registry, which enables the electronic issuance, transfer and retirement of compliance units (emission offset units, funded units and earned credits). BC’s GHG Industrial Reporting and Control Act, and associated regulations such as this one, apply carbon pricing requirements to liquefied natural gas and coal-fired electricity generation (in addition to the provincial carbon tax). "
Alberta Large Emitter ,Cross-cutting,"CH4, CO2, HFCs, N2O, NF3, PFCs, SF6",Reduce the emissions intensity of large emitters,Economic,Implemented,2007,Alberta,14000,20000,"Alberta has regulated greenhouse gas emissions from large industry since 2007 with a focus on those sites emitting more than 100,000 tonnes of CO2 eq annually. These entities represent approximately half of the province’s emissions. The newly enacted Technology Innovation and Emissions Reduction (TIER) regulation requires that most facilities to reduce their emissions intensity by 10% from a facility-specific baseline based on past emissions and production, however electricity facilities must comply with a sector-wide benchmark of 0.370 tonnes of CO2 per megawatt hour. Regulated facilities have four compliance options: improve the GHG intensity of their operations; buy emissions performance credits from other regulated facilities that achieve reductions beyond their requirement; buy Alberta-based offsets; or pay $30 per tonne of CO2 eq to the Climate Change and Emissions Management Fund. The price trajectory has been $15/tonne for 2007 through 2015, $20/tonne for 2016, and $30/tonne for 2017 forward. Note that estimated mitigation impacts are relative to 2015 projections and also include the impacts of measures such as: renewable electricity program; carbon capture, use and storage; coal phase-out; and, methane regulations."
"Alberta Carbon Capture, Storage and Utilization*",Cross-cutting,CO2,Enable government support for carbon capture and storage projects,Economic,Implemented,2008,Alberta,NAc,NAc,"This Large Emitter legislation (SGER, CCIR and now TIER) has enabled Alberta to administer funding to support large-scale carbon capture, utilization and storage (CCUS) projects. Two large-scale CCUS projects currently receive funding from the Government of Alberta: The Quest CCS project and the Alberta Carbon Trunk Line (ACTL) Enhanced Oil Recovery (EOR) project. Beginning in 2015, the Quest project captures and geologically stores over 1 Mt CO2 per year from Shell’s Scotford Oil Sands Upgrader. By the end of 2020, the ACTL project will capture approximately 1.2 Mt of CO2 from the North West Redwater Refinery and approximately 0.3 Mt of CO2 per year from the Nutrien Fertilizer Facility. The captured CO2 will then be injected into a mature oil field, now an approved enhanced oil recovery scheme, and will be permanently stored. To date, the Government of Alberta has committed $1.24 billion in funding for these two CCUS projects. The 2020 estimate of mitigation impact is included under the Large Emitter Regulations. These emission reductions are not listed to avoid double counting since these CCUS projects’ emission reductions are listed by the federal government (Clean Energy Fund)."
Alberta Emission Offset Protocols*,Cross-cutting,"CO2, CH4, N2O",Enhance removals and reduce emissions ,Economic,Implemented,2018,Alberta,4500,4500,"Alberta continues to support the generation of voluntary emission offsets in various sectors such as agriculture, renewable energy, waste management, and oil and gas. Emission offsets are available as a regulatory compliance option for large industrial emitters under the Carbon Competitiveness Incentive Regulation (to be replaced by the Technology Innovation and Emissions Reduction Regulation). Alberta continues to explore opportunities for protocol development under its protocol development process."
Saskatchewan Management and Reduction of Greenhouse Gases Act,Cross-cutting,"CH4, CO2, HFCs, N2O, PFCs, SF6",Enable the implementation of emissions management ,Regulatory,Implemented,2018,Saskatchewan,NEh,NEh,"The Management and Reduction of Greenhouse Gases Act (MRGHG Act) was partially proclaimed and in force since January 1, 2018. Amendments to MRGHG Act were made in late 2018 to: •   Revise existing prescriptive provisions related to GHG reporting and methodology; •   Enable intensity-based performance standards for large emitters; •   Enable compliance mechanisms for use by large emitters, including a technology fund, a provincial offset system and best performance credits; and, •   Enable the implementation of performance standards on large industrial emitters. The amended MRGHG Act was proclaimed in full in December 2018."
Saskatchewan Offset Credit System,Cross-Cutting,"CH4, CO2, HFCs, N2O, PFCs, SF6",Create a market for emissions reductions and sequestration activities,Economic,Planned,2021,Saskatchewan,NEb,NEh,"Saskatchewan intends to develop and implement an offset system that creates additional value for actions that result in carbon sequestration or reduced emissions, especially from soils and forests. Offset credits created in the system may be used as a compliance mechanism by large industrial emitters to meet regulated GHG performance standards. "
Saskatchewan Regulation Respecting the Management and Reduction of Greenhouse Gases (General and Reporting),Cross-Cutting,"CH4, CO2, HFCs, N2O, PFCs, SF6",Regulate reporting of GHG emissions,Regulatory,Implemented,2018,Saskatchewan,NEh,NEh,"These reporting regulations require all emitters of more than 10,000 tonnes of CO2 eq annually to report emissions. The additional data will help produce a more robust provincial GHG inventory and allow Saskatchewan to efficiently target and reduce sources of GHG emissions in the province. "
Saskatchewan SaskPower Demonstration and Implementation of Carbon Capture Technology*,Cross-cutting,CO2,Reduce GHG emissions from coal energy,"Voluntary Agreement, Research",Implemented,2014,Saskatchewan,NAc,NAc,"With funding support from the federal government, Saskatchewan has invested upwards of $17 million in capture and storage projects and projects that reduce flaring. Together with industry and government partners, it has several capture and storage projects underway, including the Aquistore project and the Carbon Capture Test Facility. The Weyburn-Midale project is the largest capture and storage demonstration site in the world. Saskatchewan is continuing to fund research related to the Weyburn reservoir through the Saskatchewan CO2 Oilfield Use for Storage and EOR Research Project. Saskatchewan has implemented the approximately $1.35 billion, 115 megawatt project at Boundary Dam, with a $240 million federal government contribution. The Boundary Dam facility began commercial operation in October 2014 and is expected to capture up to 1 Mt of CO2 per year until the facility’s end of life, reducing emissions by 7.2% from 2002 levels. These emission reductions are not listed to avoid double counting since the Boundary Dam emission reductions are listed by the federal government (Carbon Capture and Storage Investment – Budget 2008). Saskatchewan has been injecting carbon dioxide into the subsurface since 1984."
Efficiency Manitoba Act and Energy Savings Targets*,Cross-cutting,"CO2, CH4, N2O",Reduce energy use,Regulatory,Implemented,2020,Manitoba,NEh,NEh,"In 2018, the Efficiency Manitoba Act was established and the province established Efficiency Manitoba, a new Crown corporation with the sole purpose of administering and delivering energy savings cost-effectively to consumers. As per the Efficiency Manitoba Act, Manitoba must meet legislated savings targets of 22.5% of domestic electricity demand (an average of 1.5% annually of domestic electricity consumption) and 11.25% of domestic natural gas demand (an average of 0.75% annually of natural gas consumption) over a 15-year period. Until energy efficiency programming begins in 2020 by Efficiency Manitoba, Manitoba Hydro continues to deliver energy efficiency programs. "
Manitoba Carbon Savings Account,Cross-cutting,"CO2, CH4, HFCs, N2O, NF3, SF6",Reduce GHG emissions ,Regulatory,Implemented ,2018,Manitoba,NEh,NEh,"Manitoba is the first jurisdiction in North America to establish an economy-wide carbon savings account, settings its emissions reduction goal for 2018-2022 in June 2019 ahead of the November regulatory deadline. The carbon savings account for 2018-2022 is based on the recommendations of the independent Expert Advisory Council, including its emission reduction target of 1 Mt of CO2 eq. cumulative emission reductions from 2018 to the end of 2022. Five-year carbon savings accounts will continue to be set, as required in The Climate and Green Plan Act, to drive emission reductions in a timely and sustained manner. "
Ontario Energy Efficiency Standards for Products and Appliances and Equipment ,Cross-cutting,"CO2, CH4, N2O","Reduce GHG emissions in the residential, commercial and industrial sectors",Regulatory,Implemented,1989,Ontario,NEh,NEh,"Ontario’s regulation O. Reg. 509/18 sets efficiency requirements for over 80 products using electricity, natural gas, and oil in the residential, commercial and industrial sectors. Ontario is working on its next update to O. Reg. 509/18 that would increase efficiency standards for major fuel burning appliances/equipment while harmonizing efficiency requirements with the federal government standards."
Ontario Provincial Land Use Plans and Legislation,Cross-cutting,CO2,Permanently protect prime agricultural land and environmental sensitive areas,Regulatory/ Policy,Implemented,2006,Ontario,NEh,NEh,"Originally published in 2006 and updated in 2019 as the “A Place to Grow: the Growth Plan for the Greater Horseshoe,” the Growth Plan for the Greater Golden Horseshoe, the Greenbelt Plan, the Oak Ridges Moraine Conservation Plan and the Niagara Escarpment Plan are four provincial land use plans that work together to manage growth, build complete communities, curb sprawl and protect the natural environment. Ontario’s land use plans are enabled by key legislation. The Places to Grow Act (2005) enables the development of regional growth plans that guide government investments and land use planning policies. The Greenbelt Act (2005) allows for the designation of an area of land as the Greenbelt Area—lands protected from development."
Ontario’s Emissions Reduction Fund,Cross-cutting,"CH4, CO2, HFCs, N2O, NF3, PFCs, SF6",Establish an emissions reduction trust to support and encourage investments for initiatives that reduce GHGs,Economic,Planned,2021,Ontario,NEe,NEe,Ontario is proposing to launch an emissions reduction fund to encourage private investment in clean technology solutions. Ontario is planning to commit funding of $400 million over four years and establish an independent board to identify projects that will reduce emissions and drive investments in clean technologies.
"Québec acquisition, implementation and commercialization of equipment and technologies that enable businesses, including SMEs, to reduce their GHG emissions",Cross-cutting,CO2,Reduce GHG emissions in small and medium enterprises,Voluntary Agreement ,Implemented,2018,Québec,10.4,NEh,"The objective of the program is to increase the productivity and competitiveness of companies in different industrial sectors that wish to reduce their GHG emissions, to accelerate the commercialization of innovations from clean technology companies and ultimately to reduce the carbon footprint of industrial activities in Québec."
